.I,data,.B,.C,.N,.X
2181,state comput orient curricula busi school one thousand nine hundr seventi acm committe comput educ manag support nation scienc foundat grant establish apprais state art develop seri recommend improv comput educ manag provid committe materi studi curricular need five region meet unit state hold one thousand nine hundr seventi broad cross section invit academician practition consid state curricula busi school three topic cover curricula gener manag comput relat materi requir function cours curricula student concentr comput base inform system analysi minut meet reveal common set experi rais similar pedagog econom issu present give summari discuss condens pedagog substant concern rais consider resourc alloc issu involv preliminari committe recommend improv comput educ manag report prepar provid particip administr institut background inform ongo task cours develop chairman ten man committe daniel teichroew univers michigan mckenney tonge univers program manag educ curriculum design busi administr curricula graduat busi school resourc plan,1971-07-01 00:00:00,1.52 3.5,1978-02-03 09:47:00,"100,5,1-123,5,1-164,5,1-1,5,1-1,5,1-1,5,1-205,5,1-210,5,1-214,5,1-1982,5,1-398,5,1-642,5,1-669,5,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-165,6,1-196,6,1-196,6,1-1273,6,1-1883,6,1-324,6,1-43,6,1-53,6,1-91,6,1-410,6,1-3184,6,1"
2182,interrupt drive program zelkowitz interrupt supervisor monitor debug parallel process associ memori microprogram,1971-07-01 00:00:00,3.51 4.32 4.42,1978-02-03 09:49:00,"100,5,1-123,5,1-164,5,1-1,5,1-1,5,1-1,5,1-205,5,1-210,5,1-214,5,1-1982,5,1-398,5,1-642,5,1-669,5,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-165,6,1-196,6,1-196,6,1-1273,6,1-1883,6,1-324,6,1-43,6,1-53,6,1-91,6,1-410,6,1-3184,6,1"
2183,binari summat walker summat binari summat float point addit round error,1971-07-01 00:00:00,5.11,1978-02-03 09:50:00,"100,5,1-123,5,1-164,5,1-1,5,1-1,5,1-1,5,1-205,5,1-210,5,1-214,5,1-1982,5,1-398,5,1-642,5,1-669,5,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-165,6,1-196,6,1-196,6,1-1273,6,1-1883,6,1-324,6,1-43,6,1-53,6,1-91,6,1-410,6,1-3184,6,1"
2184,mean name program system assum similar function data name program languag file name oper system two function discuss term basic concept order identifi extent overlap suggest similar idea file directori storabl object type context manipul context discuss length note simpl extens church lambda notat deal nice idea context manipul wherea function regard abstract base upon first two term express lambda name list express valu list find context view abstract base upon first two term equival express mu name list valu list express fraser file oper system program languag function name context file directori file dictionari lambda calculu theori program,1971-07-01 00:00:00,3.73 4.22 4.39 5.23 5.24,1978-02-03 09:58:00,"100,5,1-123,5,1-164,5,1-1,5,1-1,5,1-1,5,1-205,5,1-210,5,1-214,5,1-1982,5,1-398,5,1-642,5,1-669,5,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-165,6,1-196,6,1-196,6,1-1273,6,1-1883,6,1-324,6,1-43,6,1-53,6,1-91,6,1-410,6,1-3184,6,1"
2185,note compil fix point binari multipl algorithm develop compil sequenc shift addit subtract mani fix point binari multipl involv constant signific characterist algorithm simplic test determin algorithm appli degre suggest effici object code glaswin compil multipl fix point arithmet,1971-06-01 00:00:00,4.12,1978-02-03 10:04:00,"100,5,1-123,5,1-164,5,1-1,5,1-1,5,1-1,5,1-205,5,1-210,5,1-214,5,1-1982,5,1-398,5,1-642,5,1-669,5,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-165,6,1-196,6,1-196,6,1-1273,6,1-1883,6,1-324,6,1-43,6,1-53,6,1-91,6,1-410,6,1-3184,6,1"
2186,numer properti ritz trefftz algorithm optim control paper ritz trefftz algorithm appli comput solut state regul problem algorithm repres modif ritz direct method design improv speed solut storag requir point real time implement becom feasibl modif show stabl comput tradit ritz approach first concern paper describ algorithm establish properti valid use numer techniqu particular use properti definit reason condit establish method second part paper devot comparison new techniqu standard procedur numer integr matrix riccati equat determin feedback matrix new techniqu show significantli faster compar accuraci jr  johnson spline regul problem control theori numer analysi,1971-06-01 00:00:00,5.1,1978-02-03 10:12:00,"100,5,1-123,5,1-164,5,1-1,5,1-1,5,1-1,5,1-205,5,1-210,5,1-214,5,1-1982,5,1-398,5,1-642,5,1-669,5,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-165,6,1-196,6,1-196,6,1-1273,6,1-1883,6,1-324,6,1-43,6,1-53,6,1-91,6,1-410,6,1-3184,6,1"
2187,comput scienc conceptu framework curriculum plan two view comput scienc consid global view attempt captur broad characterist field relationship field local view focus inner structur field structur present term kind knowledg problem activ exist within disciplin well relat approach curriculum plan comput scienc present guid structur field fact chang import featur situat expect comput scienc continu increas work contact disciplin amarel comput scienc curriculum plan educ,1971-06-01 00:00:00,1.0 1.52,1978-02-03 10:17:00,"100,5,1-123,5,1-164,5,1-1,5,1-1,5,1-1,5,1-205,5,1-210,5,1-214,5,1-1982,5,1-398,5,1-642,5,1-669,5,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-165,6,1-196,6,1-196,6,1-1273,6,1-1883,6,1-324,6,1-43,6,1-53,6,1-91,6,1-410,6,1-3184,6,1"
2188,approach optimum design comput graphic system display system design face difficult task select major subsystem intellig way subsystem choose larg number altern select base consider system respons time system cost distribut data storag process graphic processor support data process system work report develop object quantit design procedur help give better understand configur display system accomplish mean mathemat model comput drive graphic system paramet model function capabl graphic hardwar comput requir graphic applic model analyz use numer queue analysi simul obtain averag respons time predict combin model optim best graphic system configur subject cost constraint find sever applic optimum configur turn use find gener display system design guidelin foley design guidelin graphic display system mathemat model optimum system design queue model,1971-06-01 00:00:00,3.8 6.22 6.35,1978-02-03 10:26:00,"100,5,1-123,5,1-164,5,1-1,5,1-1,5,1-1,5,1-205,5,1-210,5,1-214,5,1-1982,5,1-398,5,1-642,5,1-669,5,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-165,6,1-196,6,1-196,6,1-1273,6,1-1883,6,1-324,6,1-43,6,1-53,6,1-91,6,1-410,6,1-3184,6,1"
2189,gener rosari permut express hamiltonian circuit systemat gener specif class permut fundament schedul problem describ nonori complet graph n vertic hamitonian circuit equival five n one specif permut n element term rosari permut defin correspond two circular permut mirror imag gener success number system cover three four n one set edg everi set edg e k one e k k three k n one determin recur construct hamiltonian circuit k vertic hamiltonian circuit k one vertic start hamiltonian circuit three vertic basic oper consist transposit pair adjac vertic posit pair permut determin e k two algorithm treat exampl five vertic present easi deriv possibl n permut five n one rosari permut cycl permut take revers order procedur perform fairli effici comput harada permut graph theori schedul combinatori algebra,1971-06-01 00:00:00,5.32 5.39,1978-02-03 13:55:00,"100,5,1-123,5,1-164,5,1-1,5,1-1,5,1-1,5,1-205,5,1-210,5,1-214,5,1-1982,5,1-398,5,1-642,5,1-669,5,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-165,6,1-196,6,1-196,6,1-1273,6,1-1883,6,1-324,6,1-43,6,1-53,6,1-91,6,1-410,6,1-3184,6,1"
2190,function minim house,1971-05-01 00:00:00,,1978-02-03 13:57:00,"100,5,1-123,5,1-164,5,1-1,5,1-1,5,1-1,5,1-205,5,1-210,5,1-214,5,1-1982,5,1-398,5,1-642,5,1-669,5,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-165,6,1-196,6,1-196,6,1-1273,6,1-1883,6,1-324,6,1-43,6,1-53,6,1-91,6,1-410,6,1-3184,6,1"
2191,algorithm four hundr ten partial sort one chambers sort partial sort order statist,1971-05-01 00:00:00,5.11 5.13,1978-02-03 14:23:00,"100,5,1-123,5,1-164,5,1-1,5,1-1,5,1-1,5,1-205,5,1-210,5,1-214,5,1-1982,5,1-398,5,1-642,5,1-669,5,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-165,6,1-196,6,1-196,6,1-1273,6,1-1883,6,1-324,6,1-43,6,1-53,6,1-91,6,1-410,6,1-3184,6,1"
2192,anoth recur induct principl induct method prove thing recur defin function describ show use prove partial function equival thu applic proof interpret program languag jr  recur induct correct proof compil correct,1971-05-01 00:00:00,4.13 4.2 5.24,1978-02-03 14:27:00,"100,5,1-123,5,1-164,5,1-1,5,1-1,5,1-1,5,1-205,5,1-210,5,1-214,5,1-1982,5,1-398,5,1-642,5,1-669,5,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-165,6,1-196,6,1-196,6,1-1273,6,1-1883,6,1-324,6,1-43,6,1-53,6,1-91,6,1-410,6,1-3184,6,1"
2193,implement label variabl variabl label mode convent implement techniqu fail trap certain program error fine grain calendar clock recent becom avail allow implement label variabl via new techniqu trap program error varieti fenichel label compil interpret go transfer,1971-05-01 00:00:00,4.22,1978-02-03 14:31:00,"100,5,1-123,5,1-164,5,1-1,5,1-1,5,1-1,5,1-205,5,1-210,5,1-214,5,1-1982,5,1-398,5,1-642,5,1-669,5,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-165,6,1-196,6,1-196,6,1-1273,6,1-1883,6,1-324,6,1-43,6,1-53,6,1-91,6,1-410,6,1-3184,6,1"
2194,keep address short algorithm present minim sum length block code produc assembl compil one length comput instruct assum either long short long memori locat address predetermin distanc current locat short otherwis two block instruct whose begin origin separ prespecifi amount exampl comput permit either eight bite address interpret rel locat counter full sixteen bite address memori assembl compil two block instruct mani mutual refer comput simpl iter procedur keep mani address short possibl paper demonstr wide class problem type formul cover problem solvabl mean elementari arithmet oper column vector ternari matrix richards address assembl cover problem integ program variabl length address,1971-05-01 00:00:00,4.11 4.12 4.21 5.41,1978-02-03 14:40:00,"100,5,1-123,5,1-164,5,1-1,5,1-1,5,1-1,5,1-205,5,1-210,5,1-214,5,1-1982,5,1-398,5,1-642,5,1-669,5,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-165,6,1-196,6,1-196,6,1-1273,6,1-1883,6,1-324,6,1-43,6,1-53,6,1-91,6,1-410,6,1-3184,6,1"
2195,optim detect curv noisi pictur techniqu recogn system line present techniqu heurist problem embed recognit algorithm express figur merit multistag decis process abl recogn input pictur optim system line accord give figur merit due global approach greater flexibl adequaci particular problem achiev relat structur figur merit complex optim process discuss method describ suitabl parallel process oper rel state comput parallel number stage equal length n curv log two n approxim method use montanari pictur process pictur recognit pictur descript curv detect line detect edg detect optim detect heurist method global recognit parallel process dynam program interact graph secondari optim problem,1971-05-01 00:00:00,3.63 3.66 5.42,1978-02-03 14:49:00,"100,5,1-123,5,1-164,5,1-1,5,1-1,5,1-1,5,1-205,5,1-210,5,1-214,5,1-1982,5,1-398,5,1-642,5,1-669,5,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-165,6,1-196,6,1-196,6,1-1273,6,1-1883,6,1-324,6,1-43,6,1-53,6,1-91,6,1-410,6,1-3184,6,1"
2196,man machin approach toward solv travel salesman problem travel salesman problem belong import class schedul rout problem also subproblem solv other warehous distribut problem attack mani mathemat method meager success special form problem problem moder number point solv exactli even larg amount comput time use heurist procedur propos test slightli better result paper describ comput aid heurist techniqu use modest amount comput time real time solv larg one hundr two hundr point problem techniqu take advantag comput human problem solv abil comput ask solv problem brute forc way mani today heurist ask organ data human human solv problem easili techniqu use paper seem point new direct field man machin interact field artifici intellig krolak felts marble heurist procedur comput aid heurist techniqu man machin interact artifici intellig assign problem mask assign rubber band tour gener interact process travel salesman problem,1971-05-01 00:00:00,3.57 3.66 5.30,1978-02-03 15:00:00,"100,5,1-123,5,1-164,5,1-1,5,1-1,5,1-1,5,1-205,5,1-210,5,1-214,5,1-1982,5,1-398,5,1-642,5,1-669,5,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-165,6,1-196,6,1-196,6,1-1273,6,1-1883,6,1-324,6,1-43,6,1-53,6,1-91,6,1-410,6,1-3184,6,1"
2197,merit region comput network one suggest mean stimul spread comput capabl institut higher learn construct region comput network one network construct san francisco bay area stanford univers paper report upon lesson learn oper network past two year major impact network much comput power deliv school awaken comput awar foster capabl develop school expertis assist central facil well share idea among particip import benefit qualiti varieti servic provid central facil find play key role effect network region network bring mani benefit judg purveyor raw comput power alon nielsen comput share comput util cooper network curriculum develop educ comput network comput region comput network remot comput share comput,1971-05-01 00:00:00,1.52 2.11,1978-02-03 15:17:00,"100,5,1-123,5,1-164,5,1-1,5,1-1,5,1-1,5,1-205,5,1-210,5,1-214,5,1-1982,5,1-398,5,1-642,5,1-669,5,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-165,6,1-196,6,1-196,6,1-1273,6,1-1883,6,1-324,6,1-43,6,1-53,6,1-91,6,1-410,6,1-3184,6,1"
2198,introduct featur analysi gener data base manag system paper separ publish introduct main report analyz featur gener data base manag system introduct give review current state art system discuss differ similar capabl find host languag system find self contain system discuss problem data independ bind four user level identifi describ technic problem face futur design describ first handl exist store data next provid complex data structur alreadi avail convent program languag problem high level interrog updat function act network structur mention follow discuss problem cater high volum transact initi termin parametr user lowest level user use cobol basi develop work consid length respect data structur host languag capabl self contain capabl section also assess effect data base task group propos final section outlin ten major topic main bodi full report  data base manag system program languag data structur storag structur inform retriev transact process,1971-05-01 00:00:00,3.5 3.70 3.72 3.73 3.74 4.29,1978-02-03 15:18:00,"100,5,1-123,5,1-164,5,1-1,5,1-1,5,1-1,5,1-205,5,1-210,5,1-214,5,1-1982,5,1-398,5,1-642,5,1-669,5,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-165,6,1-196,6,1-196,6,1-1273,6,1-1883,6,1-324,6,1-43,6,1-53,6,1-91,6,1-410,6,1-3184,6,1"
2199,spar matrix packag part f four algorithm four hundr eight mcnamee matrix spar matrix matrix manipul,1971-04-01 00:00:00,5.14,1978-02-03 15:20:00,"100,5,1-123,5,1-164,5,1-1,5,1-1,5,1-1,5,1-205,5,1-210,5,1-214,5,1-1982,5,1-398,5,1-642,5,1-669,5,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-165,6,1-196,6,1-196,6,1-1273,6,1-1883,6,1-324,6,1-43,6,1-53,6,1-91,6,1-410,6,1-3184,6,1"
2200,complement divis divis algorithm theorem express form permit serv basi devis divis oper produc quotient remaind complement form algorithm divis yield complement result deriv number repres base greater one radix radix less one complement scheme consid binari form algorithm thu includ two one complement implement problem quotient overflow complement result deal select appropri form remaind condit complement divis stein munro divis algorithm complement arithmet complement divis one complement arithmet two complement arithmet,1971-04-01 00:00:00,3.15 4.0 4.9 5.11 6.32,1978-02-03 15:28:00,"100,5,1-123,5,1-164,5,1-1,5,1-1,5,1-1,5,1-205,5,1-210,5,1-214,5,1-1982,5,1-398,5,1-642,5,1-669,5,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-165,6,1-196,6,1-196,6,1-1273,6,1-1883,6,1-324,6,1-43,6,1-53,6,1-91,6,1-410,6,1-3184,6,1"
2201,anim line two dimension film anim system anim comput anim system design overcom inher disadvantag associ convent comput anim techniqu dec three hundr thirti eight serv input termin movi make allow trial error design pictur sequenc convers mode stage system input element light pen pushbutton teletyp maintain user request record send ibm three hundr sixti seventi five four thousand twenti instruct necessari produc sequenc pictur gener anticip one primari contribut anim provis facil allow professor produc expositori film strip talbot iii jr  hwang comput graphic comput anim line system two dimension languag crt microfilm record,1971-04-01 00:00:00,3.41 3.80 4.22,1978-02-03 15:37:00,"100,5,1-123,5,1-164,5,1-1,5,1-1,5,1-1,5,1-205,5,1-210,5,1-214,5,1-1982,5,1-398,5,1-642,5,1-669,5,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-165,6,1-196,6,1-196,6,1-1273,6,1-1883,6,1-324,6,1-43,6,1-53,6,1-91,6,1-410,6,1-3184,6,1"
2202,dynam microprogram processor organ program dynam microprogram processor character small four k sixti four bite word read write micro storag access time storag similar cycl time machin fifti one hundr nsec microstorag use contain data subroutin micro instruct processor differ convent perform pure combinatori oper sequenc control microinstruct presenc read write microstorag permit flexibl assign resourc read storag particular processor develop paper stress simultan oper within microinstruct adder shifter masker test facil processor microassembl languag develop overhead involv subroutin linkag analyz effici flexibl softwar linkag scheme examin overhead variou subroutin characterist final three exampl problem orient program consid result code compar system three hundr sixti assembl languag version technolog normal tucker flynn microprogram read write microstorag subroutin linkag execut speed,1971-04-01 00:00:00,6.2,1978-02-03 15:58:00,"100,5,1-123,5,1-164,5,1-1,5,1-1,5,1-1,5,1-205,5,1-210,5,1-214,5,1-1982,5,1-398,5,1-642,5,1-669,5,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-165,6,1-196,6,1-196,6,1-1273,6,1-1883,6,1-324,6,1-43,6,1-53,6,1-91,6,1-410,6,1-3184,6,1"
2203,key address transform techniqu fundament perform studi larg exist format file result studi eight differ key address transform method appli set exist file present method appli particular file load factor bucket size vari wide ring addit appropri variabl pertin specif method take differ valu perform method summar term number access requir get record number overflow record creat transform peculiar method discuss practic guidelin obtain result state final propos quantit fundament studi outlin lum yuen dodd hash hash techniqu hash method hash code key key transform key address transform direct address direct access method random random access file address file organ file structur scatter storag search collis cluster inform retriev,1971-04-01 00:00:00,3.7 3.72 3.73 3.74 3.79 4.9,1978-02-03 16:10:00,"100,5,1-123,5,1-164,5,1-1,5,1-1,5,1-1,5,1-205,5,1-210,5,1-214,5,1-1982,5,1-398,5,1-642,5,1-669,5,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-165,6,1-196,6,1-196,6,1-1273,6,1-1883,6,1-324,6,1-43,6,1-53,6,1-91,6,1-410,6,1-3184,6,1"
2204,program develop stepwis refin creativ activ program distinguish code usual teach exampl serv exhibit certain techniqu consid sequenc design decis concern decomposit task subtask data data structur process success refin specif illustr short nontrivi exampl number conclus draw regard art instruct program wirth educ program program techniqu stepwis program construct,1971-04-01 00:00:00,1.50 4.0,1978-02-03 16:14:00,"100,5,1-123,5,1-164,5,1-1,5,1-1,5,1-1,5,1-205,5,1-210,5,1-214,5,1-1982,5,1-398,5,1-642,5,1-669,5,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-165,6,1-196,6,1-196,6,1-1273,6,1-1883,6,1-324,6,1-43,6,1-53,6,1-91,6,1-410,6,1-3184,6,1"
2205,difsub solut ordinari differenti equat two algorithm four hundr seven gear differenti equat stiff differenti equat,1971-03-01 00:00:00,5.17,1978-02-03 16:16:00,"100,5,1-123,5,1-164,5,1-1,5,1-1,5,1-1,5,1-205,5,1-210,5,1-214,5,1-1982,5,1-398,5,1-642,5,1-669,5,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-165,6,1-196,6,1-196,6,1-1273,6,1-1883,6,1-324,6,1-43,6,1-53,6,1-91,6,1-410,6,1-3184,6,1"
2206,exact solut linear equat use residu arithmet f four algorithm four hundr six howell residu arithmet symmetr residu modulu mix radix represent symmetr mix radix represent mix radix convers prime number linear equat gaussian elimin matrix invers determin adjoint matrix ill condit,1971-03-01 00:00:00,3.15 5.14,1978-02-03 16:23:00,"100,5,1-123,5,1-164,5,1-1,5,1-1,5,1-1,5,1-205,5,1-210,5,1-214,5,1-1982,5,1-398,5,1-642,5,1-669,5,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-165,6,1-196,6,1-196,6,1-1273,6,1-1883,6,1-324,6,1-43,6,1-53,6,1-91,6,1-410,6,1-3184,6,1"
2207,automat integr ordinari differenti equat integr techniqu automat solut initi valu problem set ordinari differenti equat describ criterion select order approxim propos object criterion increas step size reduc solut time option permit solut stiff differenti equat program embodi techniqu discuss appear algorithm four hundr seven gear differenti equat stiff equat integr step control order control,1971-03-01 00:00:00,5.17,1978-02-03 16:28:00,"100,5,1-123,5,1-164,5,1-1,5,1-1,5,1-1,5,1-205,5,1-210,5,1-214,5,1-1982,5,1-398,5,1-642,5,1-669,5,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-165,6,1-196,6,1-196,6,1-1273,6,1-1883,6,1-324,6,1-43,6,1-53,6,1-91,6,1-410,6,1-3184,6,1"
2208,storag util memori hierarchi storag assign perform hash algorithm util storag studi two level memori hierarchi first storag level fast store divid number storag area entri file hierarchi hash algorithm attempt place entri one area particular area full entri place slower second level store even though area first level store may space avail give n entri file entir hierarchi express deriv expect number entri file first level store express give measur effect first level store use mean exampl storag util studi function hash algorithm number storag area first level store divid total size first level store williams hash algorithm memori alloc memori hierarchi memori util storag alloc storag hierarchi storag util,1971-03-01 00:00:00,3.74 4.3,1978-02-03 16:37:00,"100,5,1-123,5,1-164,5,1-1,5,1-1,5,1-1,5,1-205,5,1-210,5,1-214,5,1-1982,5,1-398,5,1-642,5,1-669,5,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-165,6,1-196,6,1-196,6,1-1273,6,1-1883,6,1-324,6,1-43,6,1-53,6,1-91,6,1-410,6,1-3184,6,1"
2209,schedul algorithm comput assist registr system paper present schedul algorithm use comput assist registr system univers tennesse notat defin logic algorithm necessari implement educ polici describ result first term implement present winters comput assist registr schedul algorithm timet,1971-03-01 00:00:00,3.32 5.39,1978-02-03 16:40:00,"100,5,1-123,5,1-164,5,1-1,5,1-1,5,1-1,5,1-205,5,1-210,5,1-214,5,1-1982,5,1-398,5,1-642,5,1-669,5,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-165,6,1-196,6,1-196,6,1-1273,6,1-1883,6,1-324,6,1-43,6,1-53,6,1-91,6,1-410,6,1-3184,6,1"
2210,toward automat program synthesi elementari outlin theorem prove approach automat program synthesi give without dwell technic detail method illustr automat construct recur iter program oper natur number list tree order construct program satisfi certain specif theorem induc specif prove desir program extract proof techniqu appli transform recur defin function iter program frequent major gain ineffici emphas order construct program loop recur principl mathemat induct must appli relat version induct rule use form program construct explor detail manna waldinger artifici intellig answer extract automat program synthesi mathemat induct principl problem solv theorem prove,1971-03-01 00:00:00,3.64 5.23 5.24,1978-02-03 16:48:00,"100,5,1-123,5,1-164,5,1-1,5,1-1,5,1-1,5,1-205,5,1-210,5,1-214,5,1-1982,5,1-398,5,1-642,5,1-669,5,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-165,6,1-196,6,1-196,6,1-1273,6,1-1883,6,1-324,6,1-43,6,1-53,6,1-91,6,1-410,6,1-3184,6,1"
2211,scan display comput graphic televis like scan display system success implement honeywel ddp two hundr twenti four comput instal scan imag store core memori comput softwar scan convers use convert rectangular coordin point appropri word bite output display array core storag result thu far indic flicker free display larg amount data possibl reason fast graphic interact scan imag size two hundr forti x two hundr fifti four point display thirti frame per second rate noll comput graphic scan display scan convers raster display,1971-03-01 00:00:00,4.41 6.35,1978-02-03 16:53:00,"100,5,1-123,5,1-164,5,1-1,5,1-1,5,1-1,5,1-205,5,1-210,5,1-214,5,1-1982,5,1-398,5,1-642,5,1-669,5,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-165,6,1-196,6,1-196,6,1-1273,6,1-1883,6,1-324,6,1-43,6,1-53,6,1-91,6,1-410,6,1-3184,6,1"
2212,f distribut tolman fisher f distribut student distribut,1971-02-01 00:00:00,5.5,1978-02-08 08:35:00,"100,5,1-123,5,1-164,5,1-1,5,1-1,5,1-1,5,1-205,5,1-210,5,1-214,5,1-1982,5,1-398,5,1-642,5,1-669,5,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-165,6,1-196,6,1-196,6,1-1273,6,1-1883,6,1-324,6,1-43,6,1-53,6,1-91,6,1-410,6,1-3184,6,1"
2213,root matrix pencil gener eigenvalu problem f two algorithm four hundr five dell weil thompson eigenvalu matrix root pencil root,1971-02-01 00:00:00,5.1 5.3,1978-02-08 08:37:00,"100,5,1-123,5,1-164,5,1-1,5,1-1,5,1-1,5,1-205,5,1-210,5,1-214,5,1-1982,5,1-398,5,1-642,5,1-669,5,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-165,6,1-196,6,1-196,6,1-1273,6,1-1883,6,1-324,6,1-43,6,1-53,6,1-91,6,1-410,6,1-3184,6,1"
2214,complex interv arithmet complex interv arithmet defin use real interv arithmet complex interv divis defin assur smallest possibl result interv rokne lancaster real interv real interv arithmet complex interv complex interv arithmet,1971-02-01 00:00:00,5.11,1978-02-08 08:39:00,"100,5,1-123,5,1-164,5,1-1,5,1-1,5,1-1,5,1-205,5,1-210,5,1-214,5,1-1982,5,1-398,5,1-642,5,1-669,5,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-165,6,1-196,6,1-196,6,1-1273,6,1-1883,6,1-324,6,1-43,6,1-53,6,1-91,6,1-410,6,1-3184,6,1"
2215,applic game tree search techniqu sequenti pattern recognit sequenti pattern recognit spr procedur test featur pattern instead select featur test receiv result test procedur either classifi unknown pattern select anoth featur test etc medic diagnosi exampl spr paper author suggest spr view one person game play natur chanc virtual power techniqu develop search two person strictli competit game tree easili incorpor either directli analog spr procedur particular one incorpor mini averag back procedur gamma procedur analogu minimax back procedur alpha beta procedur respect comput simul experi charact recognit present result indic approach promis slagle lee sequenti pattern recognit game tree search game natur gamma procedur mini averag back procedur dynam program branch bind approach optim solut,1971-02-01 00:00:00,3.60 3.63 5.42,1978-02-08 08:56:00,"100,5,1-123,5,1-164,5,1-1,5,1-1,5,1-1,5,1-205,5,1-210,5,1-214,5,1-1982,5,1-398,5,1-642,5,1-669,5,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-165,6,1-196,6,1-196,6,1-1273,6,1-1883,6,1-324,6,1-43,6,1-53,6,1-91,6,1-410,6,1-3184,6,1"
