,.I,data,.B
1922,1923.0,pseudofiles rosin  an approach to system interfaces for high level languages using basic input output support facilities is described it is shown that this technique can provide potentially inexpensive methods for programs to communicate with deeply embedded facilities such as command language processors,1969-03-01
1923,1924.0,organizing matrices and matrix operations for paged memory systems mckellar  jr   matrix representations and operations are examined for the purpose of minimizing the page faulting occurring in a paged memory system it is shown that carefully designed matrix algorithms can lead to enormous savings in the number of page faults occurring when only a small part of the total matrix can be in main memory at one time examination of addition multiplication and inversion algorithms shows that a partitioned matrix representation i e one submatrix or partition per page in most cases induced fewer page faults than a row by row representation the number of page pulls required by these matrix manipulation algorithms is also studied as a function of the number of pages of main memory available to the algorithm,1969-03-01
1924,1925.0,concepts of use in contour map processing morse  generalized techniques whose use can simplify the solution of problems relating to contour maps one of these techniques makes use of the topological properties of contour maps the topology is represented by a graphical structure in which adjacent contour lines appear as connected nodes another generalized technique consists of utilizing geometrical properties to determine the characteristics of straight lines drawn on the contour map both of these techniques have been applied to the problem of locating the ground track of an aircraft from elevation readings obtained during a flight,1969-03-01
1925,1926.0,description of format a text processing program berns  format is a production program which facilitates the editing and printing of finished documents directly on the printer of a relatively small 64k computer system it features good performance totally free form input very flexible formatting capabilities including up to eight columns per page automatic capitalization aids for index construction and a minimum of nontext items it is written entirely in fortran iv,1969-03-01
1926,1927.0,information science in a ph d computer science program salton  this report contains recommendations on a sample course curriculum in the general area of information organization and information system design in a ph d computer science program the subject area is first briefly described followed by a listing of some desirable graduate level courses suitable bibliographies are appended,1969-02-01
1927,1928.0,exclusive simulation of activity in digital networks ulrich  a technique for simulating the detailed logic networks of large and active digital systems is described essential objectives sought are improved ease and economy in model generation economy in execution time and space and a facility for handling simultaneous activities the main results obtained are a clear and useful separation of structural and behavioral model description a reduction of manual tasks in converting boolean logic into a structural model the elimination of manual processes in achieving exclusive simulation of activity an event scheduling technique which does not deteriorate in economy as the event queue grows in length and a simulation procedure which deals effectively with any mixture of serial and simultaneous activities the passage of time is simulated in a precise quantitative fashion and systems to be simulated may be combinations of synchronous and asynchronous logic certain aspects of the techniques described may be used for the simulation of network structures other than digital networks,1969-02-01
1928,1929.0,images from computers and microfilm plotters schroeder  digital computers are widely used for the processing of information and data of all kinds including the pictorial information contained in photographs and other graphical representations efficient conversion facilities for putting graphical information into the computer and retrieving it in graphical form are therefore much needed one of the most commonly employed devices for obtaining permanent graphical output from digital computers is the microfilm plotter regrettably present models have no provision for producing images with a continuous gray scale or half tones in this note several programming techniques are described for obtaining half tone pictures from a microfilm plotter under the control of a digital computer illustrative examples of several methods are given,1969-02-01
1929,1930.0,extremely portable random number generator kruskal  extremely portable subroutines are sometimes needed for which moderate quality and efficiency suffice typically this occurs for library functions like random number generation and in core sorting which are not entirely universal or are not used in a standardized way the literature on random number generators does not seem to contain an algorithm that meets requirements of this sort an extremely portable 8 line fortran program is provided which based on an important paper by coveyou and macpherson 1967 using their methods fourier analysis is applied to the probability function for the consecutive n tuples provided by our generator with n less than or equal to 4 while the small modulus which must be used to maintain portability prevents the quality of the generator from being high the generator compares well with the bounds established in the above mentioned paper,1969-02-01
1930,1931.0,interval arithmetic determinant evaluation and its use in testing for a chebyshev system smith  two recent papers one by hansen and one by hansen and r r smith have shown how interval arithmetic i a can be used effectively to bound errors in matrix computations in the present paper a method proposed by hasen and r r smith is compared with straightforward use of i a in determinant evaluation computational results show the accuracy and running times that can be expected when using i a for determinant evaluation an application using i a determinants in a program to test a set of functions to see if they form a chebyshev system is then presented,1969-02-01
1931,1932.0,the logarithmic error and newton s method for the square root king  phillips  the problem of obtaining optimal starting values for the calculation of the square root using newton s method is considered it has been pointed out elsewhere that if relative error is used as the measure of goodness of fit optimal results are not obtained when the initial approximation is a best fit it is shown here that if instead the so called logarithmic error is used then a best initial fit is optimal for both types of error moreover use of the logarithmic error appears to simplify the problem of determining the optimal initial approximation,1969-02-01
1932,1933.0,coding the lehmer pseudo random number generator payne  rabung  bogyo  an algorithm and coding technique is presented for quick evaluation of the lehmer pseudo random number generator modulo 2 31 1 a prime mersenne number with produces 2 31 2 numbers on a p bit greater than 31 computer the computation method is extendible to limited problems in modular arithmetic prime factorization for 2 61 2 and a primitive root for 2 61 1 the next largest prime mersenne number are given for possible construction of a pseudo random number generator of increased cycle length,1969-02-01
1933,1934.0,on arithmetic expressions and trees redziejowski  a description is given of how a tree representing the evaluation of an arithmetic expression can be drawn in such a way that the number of accumulators needed for the computation can be represented in a straightforward manner this representation reduces the choice of the best order of computation to a specific problem under the theory of graphs an algorithm to solve this problem is presented,1969-02-01
1934,1935.0,randomized binary search technique arora  dent  a mathematical model is developed for the mean and variance of the number of trials to recover a given document in a randomly received list of files the search method described is binary in nature and offers new potential for information retrieval systems,1969-02-01
1935,1936.0,variable length tree structures having minimum average search time patt  sussenguth suggests in a paper 1963 that a file should be organized as a doubly chained tree structure if it is necessary both to search and to update frequently such a structure provides a compromise between the fast search slow update characteristics of binary searching and the slow search fast update characteristics of serial searching his method however contains the limiting restriction that all terminal nodes lie on the same level of the tree this paper considers the effect of relaxing this restriction first trees which have the property that a priori the filial set of each node is well defined are studied it is proved that coding the nodes within each filial set with respect to the number of terminal nodes reachable from each is necessary and sufficient to guarantee minimum average search time then the more general case that is where the entire structure of the tree is changeable is treated a procedure is developed for constructing a tree with a minimum average search time a simple closed expression for this minimum average search time is obtained as a function of the number of terminal nodes the storage capacity required to implement the doubly chained tree structure on a digital computer is also determined finally the total cost of the structure using sussenguth s cost criterion is computed it is shown that significant improvements in both the average search time and the total cost can be obtained by relaxing sussenguth s restriction that all terminal nodes lie on the same level of the tree,1969-02-01
1936,1937.0,codas a data display system day  mansfield  ellis  codas a customer oriented data system is a user oriented data retrieval and display system the command language of the system provides the user with an easy means for specifying data retrieval and display requests data is displayed as tables and graphs produced in a format ready for publication in this paper the statements of the request language and the general system design are described,1969-02-01
1937,1938.0,some criteria for time sharing system performance stimler  time sharing systems as defined in this article are those multiaccess systems which permit a terminal user to utilize essentially the full resources of the system while sharing its time with other terminal users it is each terminal user s ability to utilize the full resources of the system that makes quantitative evaluation of time sharing systems particularly difficult six criteria are described which have been successfully used to perform first level quantitative time sharing system performance evaluation,1969-01-01
1938,1939.0,directed random generation of sentences friedman  the problem of producing sentences of a transformational grammar by using a random generator to create phrase structure trees for input to the lexical insertion and transformational phases is discussed a purely random generator will produce base trees which will be blocked by the transformations and which are frequently too long to be of practical interest a solution is offered in the form of a computer program which allows the user to constrain and direct the generation by the simple but powerful device of restricted subtrees the program is a directed random generator which accepts as input a subtree with restrictions and produces around it a tree which satisfies the restrictions and is ready for the next phase of the grammar the underlying linguistic model is that at noam chomsky as presented in aspects of the theory of syntax the program is written in fortran iv for the ibm 360 67 and is part of a unified computer system for transformational grammar it is currently being used with several partial grammars of english,1969-01-01
1939,1940.0,calculation of a polynomial and its derivative values by horner scheme algorithm 337 c1 smith  ,1969-01-01
1940,1941.0,f distribution algorithm 322 s14 field  ,1969-01-01
1941,1942.0,finding a solution of n functional equations in n unknowns algorithm 314 c5 vandergraft  mesztenyi  ,1969-01-01
1942,1943.0,complete elliptic integrals algorithm 165 s21 farkas  ,1969-01-01
1943,1944.0,student s t distribution algorithm 344 s14 levine  ,1969-01-01
1944,1945.0,the role of programming in a ph d computer science program arden  in this general paper the role of programming in advanced graduate training is discussed subject matter related to programming as well as programming per se is considered the importance and application of formalism are considered and also the need for good empirical experimentation a brief outline for a sequence of courses is included and subject headings that have been obtained from an extensive bibliography are given a bibliography of programming references is included,1969-01-01
1945,1946.0,computing polynomial resultants bezout s determinant vs collins reduced p r s algorithm ku  adler  algorithms for computing the resultant of two polynomials in several variables a key repetitive step of computation in solving systems of polynomial equations by elimination are studied determining the best algorithm for computer implementation depends upon the extent to which extraneous factors are introduced the extent of propagation of errors caused by truncation of real coefficients memory requirements and computing speed preliminary considerations narrow the choice of the best algorithm to bezout s determinant and collins reduced polynomial remainder sequence p r s algorithm detailed tests performed on sample problems conclusively show that bezout s determinant is superior in all respects except for univariate polynomials in which case collins reduced p r s algorithm is somewhat faster in particular bezout s determinant proves to be strikingly superior in numerical accuracy displaying excellent stability with regard to round off errors results of tests are reported in detail,1969-01-01
1946,1947.0,object code optimization lowry  medlock  methods of analyzing the control flow and data flow of programs during compilation are applied to transforming the program to improve object time efficiency dominance relationships indicating which statements are necessarily executed before others are used to do global common expression elimination and loop identification implementation of these and other optimizations in os 360 fortran h are described,1969-01-01
1947,1948.0,computers in group theory a survey cannon  computers are being applied to an increasingly diverse range of problems in group theory the most important areas of application at present are coset enumeration subgroup lattices automorphism groups of finite groups character tables and commutator calculus group theory programs range from simple combinatorial or numerical programs to large symbol manipulation systems in this survey the more important algorithms in use are described and contrasted and results which have been obtained using existing programs are indicated an extensive bibliography is included,1969-01-01
1948,1949.0,finiteness assumptions and intellectual isolation of computer scientists wagner  ,1970-12-01
1949,1950.0,efficient handling of binary data raduchel  ,1970-12-01
1950,1951.0,estimates of distributions of random variables for certain computer communications traffic models fuchs  jackson  a study of multiaccess computer communications has characterized the distributions underlying an elementary model of the user computer interactive process the model used is elementary in the sense that many of the random variables that generally are of interest in computer communications studies can be decomposed into the elements of this model data were examined from four operational multiaccess systems and the model is shown to be robust that is each of the variables of the model has the same distribution independent of which of the four systems is being examined it is shown that the gamma distribution can be used to describe the discrete variables approximations to the gamma distribution by the exponential distribution are discussed for the systems studied,1970-12-01
1951,1952.0,index by subject to algorithms 1970  ,1970-12-01
1952,1953.0,exponential integral ei x algorithms 385 s13 redish  ,1970-12-01
1953,1954.0,eigenvalues and eigenvectors of a real symmetric matrix algorithm 384 f2 stewart  ,1970-12-01
1954,1955.0,characteristic values and associated solutions of mathieu s differential equation algorithm 352 s22 sale  ,1970-12-01
1955,1956.0,optimum merging from mass storage black  an algorithm is displayed which yields the merge orders such that the total read time defined to be the sum of seek time plus data transfer time is minimized for a sort using mass storage the analysis is parameterized in terms of the ratio of seek time to the time it takes to fill available core with records and the file size in units of core lengths and thus it can be applied to any conventional cpu mass storage combination an explicit formula for total read time is derived in terms of the parameters which correlates very well with the total read time calculated using the optimum merge orders yielded by the algorithm the formula involves the roots of a simple transcendental equation a short table of these roots is included numerical results are graphically displayed for a wide range of the parameters it is found that the normalized read time for optimum merging on a given hardware configuration is proportional to the file length times the logarithm of the file length,1970-12-01
1956,1957.0,the list set generator a construct for evaluating set expressions shapiro  the list set generator is defined and algorithms for its use are given the list set generator is a construct which may be added to a list processing system or any system that handles sets it efficiently generates the set which results from any expression involving sets and set operators the efficiency derives from evaluating the expression as a whole and in parallel rather than evaluating subexpressions and then using those sets to arrive at the final result,1970-12-01
1957,1958.0,improving round off in runge kutta computations with gill s method thompson  a runge kutta gill scheme in common use is based on an incomplete adaptation for floating point operations of gill s method an improved version reduces round off error significantly in this note the heart of the scheme is presented in fortran language it is then shown how an improved version of the method can be obtained with the addition of two fortran statements the two version is a significant improvement a numerical example comparing the two is included,1970-12-01
1958,1959.0,an interrupt based organization for management information systems morgan  a programming structure language constructs and a supervisory system organization are proposed for the design and coding of large shared data base systems the bases for this organization are a generalized interrupt structure and the newly introduced concept of file tagging which is the process of associating program structures and interrupt generating conditions with items in the data base an algorithm for resolving conflicts which arise in scheduling the interrupt processing routines is presented dpl a programming language and supervisory system in which these concepts are implemented is used to illustrated the new organization which is proposed for management information systems,1970-12-01
1959,1960.0,process management and resource sharing in the multiaccess system esope betourne  boulenger  ferrie  kaiser  krakowiak  mossiere  the main design principles of the multiaccess system esope are described emphasis is placed on basic ideas underlying the design rather than on implementation details the main features of the system include the ability given to any user to schedule his own parallel processes using system primitive operations the file memory relationship and the allocation scheduling policy which dynamically takes into account recent information about user behavior,1970-12-01
1960,1961.0,an efficient search algorithm to find the elementary circuits of a graph tiernan  a theoretically most efficient search algorithm is presented which uses an exhaustive search to find all of the elementary circuits of a graph the algorithm can be easily modified to find all of the elementary circuits with a particular attribute such as length a rigorous proof of the algorithm is given as well as an example of its application empirical bounds are presented relating the speed of the algorithm to the number of vertices and the number of arcs the speed is also related to the number of circuits in the graph to give a relation between speed and complexity extensions to undirected and s graphs are discussed,1970-12-01
1961,1962.0,groove a program to compose store and edit functions of time mathews  moore  a program which makes possible creating storing reproducing and editing functions of time is described the functions are typical of those generated by human beings multiple functions up to 14 are produced for long periods of time up to several hours at sufficiently high sampling rates to describe fast human reactions up to 200 samples per second the functions can be used for a variety of purposes such as the control of machine tools or sound synthesizers or anything a person normally controls the program operates on a small computer ddp 224 functions are stored on a disk file functions may be created by real time human inputs to the computer which can interact with already stored functions and computed functions real time feedback from the process being controlled is an important link in the system the environment for effective man machine interaction has been carefully nurtured,1970-12-01
1962,1963.0,condition numbers of pei matrices rokne  ,1970-11-01
1963,1964.0,comment on the working set model for program behavior bernstein  ,1970-11-01
1964,1965.0,correction to logical arithmetic on computers with two s complement binary arithmetic ehrman  ,1970-11-01
1965,1966.0,a generalized method for generating argument function values wilson  ,1970-11-01
1966,1967.0,an improved algorithm to produce complex primes algorithm 401 a1 bratley  ,1970-11-01
1967,1968.0,eigenvalues and eigenvectors of a real general matrix algorithm 343 f1 knight  mersereau  ,1970-11-01
1968,1969.0,increasing the efficiency of quicksort algorithm 402 m1 emden  ,1970-11-01
1969,1970.0,unrecorded magnetic tape for information interchange 9 track 200 and 800 cpi nrzi and 1600 cpi pe proposed american national standard  ,1970-11-01
1970,1971.0,recorded magnetic tape for information interchange 1600 cpi phase encoded proposed american national standard  ,1970-11-01
1971,1972.0,a nonrecursive list compacting algorithm cheney  a simple nonrecursive list structure compacting scheme or garbage collector suitable for both compact and lisp like list structures is presented the algorithm avoids the need for recursion by using the partial structure as it is built up to keep track of those lists that have been copied,1970-11-01
1972,1973.0,the linear quotient hash code bell  kaman  a new method of hash coding is presented and is shown to possess desirable attributes specifically the algorithm is simple efficient and exhaustive while needing little time per probe and using few probes per lookup performance data and implementation hints are also given,1970-11-01
1973,1974.0,neater2 a pl i source statement reformatter conrow  smith  neater2 accepts a pl i source program and operates on it to produce a reformatted version when in the logical mode neater2 indicates the logical structure of the source program in the indentation pattern of its output logic errors discovered through neater2 logical analysis are discovered much more economically than is possible through compilation and trial runs a number of options are available to give the user full control over the output format and to maximize the utility of neater2 as an aid during the early stages of development of a pl i source deck one option usage causes neater2 to insert into each logical unit of coding a statement which will case the number of times each one is executed to be recorded during execution this feature is expected to provide a major aid in optimization of pl i programs,1970-11-01
1974,1975.0,a multiple precision division algorithm mifsud  a generalized division algorithm for use with positive integral operands is presented depending upon the algebraic relationship of the first two ciphers of the divisor one or at most two adjustments to the original divisor and dividend must be performed before the division operation can be initiated the uniqueness of this method will cause each trial cipher in the quotient to be either equal to or one greater than its final replacement,1970-11-01
1975,1976.0,multi attribute retrieval with combined indexes lum  in this paper a file organization scheme designed to replace the use of the popular secondary index filing scheme or inverted files on secondary key fields is described through the use of redundancy and storing keys or access numbers of the records that satisfy different combinations of secondary index values in buckets it is possible to retrieve all keys satisfying any input query derived from a subset of fields by a single access to an index file although each bucket may be used for many combinations of values and a combination of buckets may be required for a given query the method which in its degenerate case becomes the conventional secondary index filing scheme works similarly but has the following advantages 1 the elimination of multiple accesses in many cases 2 the elimination of false drops 3 the elimination of computer time to perform intersection of key sets each qualified for one secondary index field only and 4 the avoidance of long strings of keys when an index field appearing in a query has very few possible values redundancy in some cases is the same as the secondary indexing method in the general case trade off between the number of accesses for query and redundancy exists,1970-11-01
1976,1977.0,an interactive display for approximation by linear programming lafata  rosen  an interactive program with a graphical display has been developed for the approximation of data by means of a linear combination of functions including splines selected by the user the coefficients of the approximation are determined by linear programming so as to minimize the error in either the l1 or l infinity norm auxiliary conditions such as monotonicity or convexity of the approximation can also be imposed this interactive system is described and several examples of its use are given,1970-11-01
1977,1978.0,the use of interactive graphics to solve numerical problems smith  with the advent of on line time sharing computer systems and graphic terminals we have available a new dimension in numerical problem solving capabilities rather than simply use the new power to achieve fast turnaround we can develop interactive routines which are easy to use and also take advantage of the insight and visual capabilities of the human problem solver several on line systems for general purpose mathematical problem solving have already been implemented as well as some special purpose systems for solving problems in a particular area such as ordinary differential equations the advantage of restricting the problem area is that the interface with a user can be greatly simplified in this paper we discuss some of the advantages accrued by such systems and design considerations for interactive routines furthermore an implementation of an on line least squares data fitting program peg is presented with results obtained from empirical data in conclusion area for future work in this field are discussed,1970-10-01
1978,1979.0,numerical inversion of laplace transforms algorithm 368 d5 stehfest  ,1970-10-01
1979,1980.0,an efficient algorithm for sorting with minimal storage algorithm 347 m1 peto  ,1970-10-01
1980,1981.0,normal curve integral algorithm 304 s15 holmgren  ,1970-10-01
1981,1982.0,modified havie integration algorithm 400 d1 wallick  ,1970-10-01
1982,1983.0,spanning tree h algorithm 399 seppanen  ,1970-10-01
1983,1984.0,tableless date conversion z algorithm 398 stone  ,1970-10-01
1984,1985.0,an integer programming problem h algorithm 397 chang  gill  ,1970-10-01
1985,1986.0,student s t quantiles s14 algorithm 396 hill  ,1970-10-01
1986,1987.0,student s t distribution s14 algorithm 395 hill  ,1970-10-01
1987,1988.0,a formalism for translator interactions earley  a formalism is presented for describing the actions of processors for programming languages compilers interpreters assemblers and their interactions in complex systems such as compiler compilers or extendible languages the formalism here might be used to define and answer such a question as can one do bootstrapping using a meta compiler whose metaphase is interpretive in addition an algorithm is presented for deciding whether or not a given system can be produced from a given set of component processors,1970-10-01
1988,1989.0,transition network grammars for natural language analysis woods  the use of augmented transition network grammars for the analysis of natural language sentences is described structure building actions associated with the arcs of the grammar network allow for the reordering restructuring and copying of constituents necessary to produce deep structure representations of the type normally obtained from a transformational analysis and conditions on the arcs allow for a powerful selectivity which can rule out meaningless analyses and take advantage of semantic information to guide the parsing the advantage of this model for natural language analysis are discussed in detail and illustrated by examples an implementation of an experimental parsing system for transition network grammars is briefly described,1970-10-01
1989,1990.0,numerical constants algorithm dunham  ,1970-09-01
1990,1991.0,on the number of automorphisms of a singly generated automaton bavel  ,1970-09-01
1991,1992.0,comment on bell s quadratic quotient method for hash code searching lamport  ,1970-09-01
1992,1993.0,regular coulomb wave functions algorithm 292 s22 cody  paciorek  ,1970-09-01
1993,1994.0,decision table translation h algorithm 394 dial  ,1970-09-01
1994,1995.0,special series summation with arbitrary precision c6 algorithm 393 abdali  ,1970-09-01
1995,1996.0,systems of hyperbolic pde d3 algorithm 392 smith  mccall  ,1970-09-01
1996,1997.0,increasing the efficiency of quicksort emden  a method is presented for the analysis of various generalizations of quicksort the average asymptotic number of comparisons needed is shown to be an log 2 n a formula is derived expressing a in terms of the probability distribution of the bound of a partition this formula assumes a particularly simple form for a generalization already considered by hoare namely choice of the bound as median of a random sample the main contribution of this paper is another generalization of quicksort which uses a bounding interval instead of a single element as bound this generalization turns out to be easy to implement in a computer program a numerical approximation shows that a 1 140 for this version of quicksort compared with 1 386 for the original this implies a decrease in number of comparisons of 18 percent actual tests showed about 15 percent saving in computing time,1970-09-01
1997,1998.0,complex matrix inversion versus real ehrlich  a comparison of complex matrix with real matrix inversion is made it is shown that the complex inversion can be up to twice as fast as the real inversion further the rounding error bound for complex inversion is about one eighth that of real for gaussian elimination using extended inner product accumulation the bound is half of the real system,1970-09-01
1998,1999.0,optimal starting approximations for generating square root for slow or no divide wilson  on machine with slow or no division it is preferable to use an iterative scheme for the square root different from the classical heron scheme the problem of optimal initial approximants is considered and some optimal polynomial initial approximations are tabulated,1970-09-01
1999,2000.0,a variation of the goodman lance method for the solution of two point boundary value problems kimble  a recently published method for the interpolative solution of nonlinear equations is improved and applied to give a significant variation of the goodman lance method for the solution of two point boundary value problems the resulting method applies in particular to the numerical solution of optimal control problems in the euler lagrange formulation quantitative estimates are presented which indicate that the variation is nearly twice as fast on some problems in the latter context,1970-09-01
2000,2001.0,integrating square roots moler  solomon  differential equation of the y 2 f y are difficult to integrate numerically because of the singularity at points where f y vanishes a simple trick removes the singularity,1970-09-01
2001,2002.0,amesplot a higher level data plotting software system hirschsoln  amesplot is an extensible software system designed to make the display of data as simple painless and neat as possible the system described is hardware independent and has been implemented on a variety of installations of different manufacturers having diverse configurations the elements common to all types of data plots are outlined and the way in which these elements may be combined into a system based on simple modules is demonstrated these modules are specified independently and are independent of the axis systems or other attributes of the plot this enables plots of any complexity to be constructed by adding or replacing modules the basic syntax of amesplot is outlined and a brief description is given of its current utility software consisting of macros to produce self scaled plots formal tablets of text interspersed with subplots map coastlines and 3 d plots the system was formulate d in a way such that the user could supply the minimum of information and it should be fully integrable with user s program written in most conventional higher languages the functions of positioning locating and scaling in the layout of multiple subplots of axes labels and all other elements of the plot are handled automatically by the software system unless the user specifies otherwise the structuring of plots from multiple independent self contained subplots is described transformation projection scaling rotation or shifting of entire plots or subplots by the action of one or more simple modules is possible the user may interact freely with amesplot at three levels enabling him to construct his own data markers alphabetic characters and transformations and to produce a variety of artistic and other effects,1970-09-01
2002,2003.0,an interactive software system for computers aided design an application to circuit project bracchi  somalvico  the characteristics of an interactive software system intended to constitute an interface between designer and computer during various steps of the design process are presented the main emphasis is given to the description of the features of the two high level user oriented languages operating at different levels on which the interaction is based the first one is imol an interactive monitor language which is designed to perform the overall and control functions of the software system its design criteria provide the user with commands which are both simple and efficient in order to perform all the functions needed in computer aided circuit design the second one is coif a circuit oriented graphic language which is designed to describe generate and manipulate graphic problem specifications it is an extension of fortran with graphic type variables so that the designer who is familiar with fortran need not learn a new language the application to computer aided circuit design is in particular examined on the other hand the adopted design criteria provide sufficient generality to extend the use of the two languages to different computer assisted applications,1970-09-01
2003,2004.0,a procedure for generation of three dimensional half toned computer graphics presentations bouknight  a description is given of an algorithm for producing computer generated half tone presentations of three dimensional polygonal surface structures this algorithm achieves a significant increase in speed of computation over the warnock algorithm developed at the university of utah and implemented also on the coordinated science laboratory cdc 1604 computer system at the university of illinois the history leading to the algorithm development and then the algorithm itself are described results are presented and are compared with computer runs achieved by the warnock approach an extension of the procedure to variable position illumination sources is also given,1970-09-01
2004,2005.0,proposed revision of american national standard x3 21 1967 rectangular holes in twelve row punched cards  ,1970-08-01
2005,2006.0,proposed american national standard kerpelman  ,1970-08-01
2006,2007.0,algorithms policy revised august 1970  ,1970-08-01
2007,2008.0,gaussian quadrature formulas algorithm 331 d1 jr   ,1970-08-01
2008,2009.0,simpson s rule for multiple integration algorithm 233 d1 proll  ,1970-08-01
2009,2010.0,unitary symmetric polynomials z algorithm 391 mckay  ,1970-08-01
2010,2011.0,sequency ordered walsh functions s22 algorithm 390 hubner  ,1970-08-01
2011,2012.0,binary ordered walsh functions s22 algorithm 389 hubner  ,1970-08-01
2012,2013.0,rademacher function s22 algorithm 388 hubner  ,1970-08-01
2013,2014.0,function minimization and linear search e4 algorithm 387 fielding  ,1970-08-01
2014,2015.0,a technique for generating almost optimal floyd evans productions for precedence grammars ichbiah  morse  a technique is developed for generating almost optimal floyd evans productions given a precedence grammar a graph formulation is used for the problem of merging productions the productions generated correspond to the minimum cost inverse arborescence of that graph the validity of the technique is demonstrated for weak precedence grammars defined here but the productions mechanically generated for any precedence grammar can often be modified in such a way that correct almost optimal parsers are obtained,1970-08-01
2015,2016.0,the instrumentation of multics gintell  saltzer  an array of measuring tools devised to aid in the implementation of a prototype computer utility is discussed these tools include special hardware clocks and data channels general purpose programmed probing and recording tools and specialized measurement facilities some particular measurements of interest in a system which combines demand paging with multiprogramming are described in detail where appropriate insight into effectiveness or lack there of of individual tools is provided,1970-08-01
2016,2017.0,sorting in a paging environment brawn  gustavson  mankin  this sorting study was part of an extensive measurement project undertaken on the m44 44x an experimental paging system which was conceived and implemented at ibm research in order to explore the virtual machine concept the study was concerned with the implementation of sorting procedures in the context of the dynamic paging environment characteristic of virtual memory machines descriptions of the experimental sort programs and analysis of the performance measurement results obtained for them are presented the insight gained from the experimental effort is used to arrive at a set of broad guidelines for writing sort programs for a paging environment,1970-08-01
2017,2018.0,full table quadratic searching for scatter storage day  the quadratic residue search method for hash tables avoids much of the clustering experienced with a linear search method the simple quadratic search only accesses half the table it has been shown that when the length of the table is a prime of the form 4n 3 where n is an integer the whole table may be accessed by two quadratic searches plus a separate access for the original entry point a search method is presented which is computationally simple has all the advantages of the quadratic search and yet accesses all the table in one sweep,1970-08-01
2018,2019.0,normalization techniques for hand printed numerals nagy  tuong  family of pattern standardization techniques based on geometrical projection is applied to a file of digitized hand printed numerals obtained from sales clerks the principle involves transforming a quadrilateral specified in terms of the convex hull of each pattern into a square the amount of overlap within each class of characters versus the amount between classes is used to evaluate the degree of normalization achieved with respect to other published methods including size and shear normalization through moments,1970-08-01
2019,2020.0,the allocation of computer resources is pricing the answer nielsen  the widespread use of complex third generation computing systems has led to a much broader concern about the means by which the resources of these systems are allocated among the user community one means that is suggested more and more frequently is a pricing procedure in this paper the manner in which one would like to allocate computing resources is considered and then the extent to which a pricing mechanism fits this mold is discussed inasmuch as pricing must serve as a rationing mechanism at times consideration is given to the means by which prices can be adjusted flexibly in order to make a dynamic allocation of resources consideration is also given to the means by which users can be insulated from the harmful effects of frequent price fluctuations although the subject of pricing has been given a lot of attention recently a number of misconceptions persist about its purpose and its operation an attempt is made to clarify some of these misunderstandings and to highlight the advantages and disadvantages and to highlight the advantages and disadvantages of pricing two illustrative pricing systems are also discussed in order to demonstrate the applicability of pricing in quite different environments,1970-08-01
2020,2021.0,a comment on axiomatic approaches to programming hunt  ,1970-07-01
2021,2022.0,note on an anomaly in paging pomeranz j  ,1970-07-01
2022,2023.0,a note on data base deadlocks baecker  ,1970-07-01
2023,2024.0,comments on a paper by lowe sattley  millstein  ,1970-07-01
2024,2025.0,student s t distribution jacobi polynomials modified romberg quadrature factorial analysis of variance algorithms 332 344 351 359 sale  ,1970-07-01
2025,2026.0,exponential integral algorithm 385 s13 ng  ,1970-07-01
2026,2027.0,ricatti bessel functions of first and second kind algorithm 22 s17 bray  ,1970-07-01
2027,2028.0,greatest common divisor of n integers and multipliers a1 algorithm 386 bradley  ,1970-07-01
2028,2029.0,exponential integral s13 algorithm 385 paciorek  ,1970-07-01
2029,2030.0,context sensitive parsing woods  this paper presents a canonical form for context sensitive derivations and a parsing algorithm which finds each context sensitive analysis once and only once the amount of memory required by the algorithm is essentially no more than the required to store a single complete derivation in addition a modified version of the basic algorithm is presented which blocks infinite analyses for grammars which contain loops the algorithm is also compared with several previous parsers for context sensitive grammars and general rewriting systems and the difference between the two types of analyses is discussed the algorithm appears to be complementary to an algorithm by s kuno in several respects including the space time trade off and the degree of context dependence involved,1970-07-01
2030,2031.0,algorithm and bound for the greatest common divisor of n integers bradley  a new version of the euclidean algorithm for finding the greatest common divisor of n integers a i and multipliers x i such that gcd x 1 a 1 x n a n is presented the number of arithmetic operations and the number of storage locations are linear in n a theorem of lame that gives a bound for the number of iterations of the euclidean algorithm for two integers is extended to the case of n integers an algorithm to construct a minimal set of multipliers is presented a fortran program for the algorithm appears as comm acm algorithm 386,1970-07-01
2031,2032.0,file structures using hashing functions jr   eve  a general method of file structuring is proposed which uses a hashing function to define tree structure two types of such trees are examined and their relation to trees studied in the past is explained results for the probability distributions of path lengths are derived and illustrated,1970-07-01
